ID,company_short,company,n
20020403-0770,Columbia Gas,Columbia Gas,12
20160222-0007,Magnolia LNG,Magnolia LNG project,12
20160129-0008,Magnolia LNG,Magnolia LNG project,12
20150320-0022,Magnolia LNG,Magnolia LNG Project,12
20150311-0010,Magnolia LNG,Magnolia LNG Project,12
20150129-0016,Columbia Gas,"Columbia Gas Transmission,",12
20140710-0007,Magnolia LNG,Magnolia LNG Project,12
20130723-0066,Magnolia LNG,Magnolia LNG project,12
20150625-0019,Algonquin,Algonquin Gas Transmission,11
20150625-0019,Algonquin,Algonquin Construction,11
20101028-0010,Algonquin,Algonquin,11
20030313-0211,Algonquin,Algonquin Gas Transmission,11
20020129-0053,Algonquin,"Maritimes & Northeast Pipeline, L.L.C. and Algonquin Gas Transmission",11
20011019-0138,Algonquin,"Maritimes and Northeast Pipeline, L.L.C./Algonquin Gas Transmission",11
20011002-0661,Algonquin,"Maritimes and Northeast Pipeline, L.L.C./Algonquin Gas Transmission",11
20010709-0377,Algonquin,Algonquin and Texas Eastern Authority,11
20151223-0021,Algonquin,Algonquin,11
20150126-0032,Algonquin,Algonquin,11
20030313-0211,Algonquin,Algonquin Hubline Phase II Project,11
20160715-0011,PennEast,PennEast,9
20160629-0006,Mountain Valley,Mountain Valley Pipeline,9
20160309-0012,PennEast,PennEast,9
20151022-0039,PennEast,PennEast Pipeline,9
20180814-0008,Mountain Valley,Mountain Valley Pipeline Project,9
20180731-0107,Mountain Valley,Mountain Valley Pipeline Project,9
20180726-5029,Mountain Valley,Mountain Valley Pipeline Project,9
20180330-0012,Mountain Valley,Mountain Valley Pipeline,9
20180111-0006,Mountain Valley,Mountain Valley Pipeline,9
20171020-0014,Mountain Valley,Mountain Valley Pipeline project,9
20160921-0008,PennEast,PennEast Pipeline Project,9
20160913-0008,PennEast,PennEast Pipeline Project,9
20160909-0033,Mountain Valley,Mountain Valley Pipeline,9
20160801-0067,PennEast,PennEast Pipeline Project,9
20160715-0011,PennEast,PennEast Pipeline,9
20160309-0012,PennEast,"PennEast Pipeline Project, Docket No. CP15-558-000",9
20151211-0026,Mountain Valley,Mountain Valley Pipeline,9
20151022-0039,PennEast,PennEast pipeline project,9
20160908-0008,Spectra,"Spectra
Energy.",8
20160602-0013,Spectra,Spectra,8
20151223-0021,Spectra,Spectra,8
20150302-0021,Spectra,Spectra,8
20150129-0031,Spectra,Spectra Energey,8
20131009-0016,Spectra,Spectra,8
20120210-0001,Spectra,Spectra,8
20120113-0002,Spectra,Spectra,8
20020204-0160,California Independent System Operator,California Independent System Operator,8
20011221-0264,California Independent System Operator,California Independent System Operator,8
20011221-0259,California Independent System Operator,California Independent System Operator,8
20011019-0074,California Independent System Operator,California Independent System Operator,8
20011011-0121,California Independent System Operator,California Independent System Operator,8
20011005-0027,California Independent System Operator,California Independent System Operator,8
20011005-0019,California Independent System Operator,California Independent System Operator,8
20011005-0005,California Independent System Operator,California Independent System Operator,8
20180411-0025,Dominion,Dominion,7
20171020-0018,Dominion,Dominion,7
20170809-0029,Grand River Dam Authority,Grand River Dam Authority,7
20170807-0007,Grand River Dam Authority,Grand River Dam Authority,7
20170802-0028,Grand River Dam Authority,Grand River Dam Authority,7
20160826-0013,Grand River Dam Authority,Grand River Dam Authority,7
20160803-0011,Grand River Dam Authority,Grand River Dam Authority,7
20160729-0009,Grand River Dam Authority,Grand River Dam Authority,7
20151211-0026,Dominion,Dominion Virginia Power,7
20150804-0014,Grand River Dam Authority,Grand River Dam Authority,7
20080619-0123,Dominion,"Dominion Transmission,",7
20061006-0193,Straight Creek Gathering,"Straight Creek Gathering, LP",7
20061006-0191,Straight Creek Gathering,"Straight Creek Gathering, LP",7
20060714-0049,Straight Creek Gathering,Straight Creek Gathering LP,7
20060628-0147,Straight Creek Gathering,"Straight Creek Gathering, LP",7
20060622-0084,Straight Creek Gathering,"Straight Creek Gathering, LP",7
20060621-0127,Straight Creek Gathering,"Straight Creek Gathering, LP",7
20040512-0200,Hydroelectric,Hydroelectric project,7
20020521-0018,Dominion,Dominion Resources,7
20160129-0074,Hydroelectric,Hydroelectric Project No. 10489-014,7
20140606-0010,Dominion,Dominion Cove Point Project,7
20140428-0006,Dominion,Dominion Cove Point LNG Project,7
20061030-0133,Straight Creek Gathering,Straight Creek Gathering Project,7
20040616-0041,Hydroelectric,Hydroelectric project,7
20040604-0024,Hydroelectric,Hydroelectric project,7
20040206-0074,Hydroelectric,Hydroelectric project,7
20030606-0057,Hydroelectric,Hydroelectric Project,7
20000811-0292,Hydroelectric,Hydroelectric Project,7
20180523-0014,Spire STL,Spire STL Pipeline,6
20180515-4002,Spire STL,Spire STL Pipeline,6
20180223-0008,Spire STL,Spire STL Pipeline,6
20170203-0029,Nexus,NEXUS,6
20140416-0025,Cheniere,Cheniere,6
20100910-0040,Cheniere,Cheniere,6
20040701-0068,Cheniere,Cheniere,6
20020930-0275,Nebraska Public Power District,Nebraska Public Power District,6
20020910-0211,Nebraska Public Power District,Nebraska Public Power District,6
20020903-2100,Nebraska Public Power District,Nebraska Public Power District,6
20020820-0004,Nebraska Public Power District,Nebraska Public Power District,6
20180523-0014,Spire STL,Spire STL Pipeline Project,6
20180515-4002,Spire STL,Spire STL Pipeline Project,6
20180223-0008,Spire STL,Spire STL Pipeline Project,6
20171020-0015,Nexus,NEXUS Gas Transmission pipeline project,6
20170203-0029,Nexus,Nexus Natural Gas Pipeline Project,6
20160908-0008,Nexus,NEXUS Gas Transmission pipeline project,6
20150603-0093,Cheniere,Cheniere,6
20150302-0021,Nexus,NEXUS Pipeline,6
20150129-0031,Nexus,NEXUS Gas Transmission Project,6
20141024-0020,Cheniere,Cheniere,6
20080424-0031,Meldahl Hydroelectric,Meldahl Hydroelectric Project,6
20070507-0107,Meldahl Hydroelectric,Meldahl Hydroelectric Project,6
20060918-0297,Meldahl Hydroelectric,Meldahl Hydroelectric Project,6
20060810-0070,Meldahl Hydroelectric,Meldahl Hydroelectric Project,6
20060802-0124,Meldahl Hydroelectric,Meldahl Hydroelectric Project,6
20060725-0049,Meldahl Hydroelectric,Meldahl Hydroelectric Project,6
20040423-0053,Cheniere,Cheniere,6
20020903-2100,Nebraska Public Power District,"Nebraska Public Power District, Project 1835",6
20020820-0004,Nebraska Public Power District,"Nebraska Public Power District, Project 1835",6
20171208-0016,Duke,Duke,5
20160523-0008,Duke,Duke,5
20150430-0038,Tennessee Gas,Tennessee Gas Pipeline,5
20141006-0054,Tennessee Gas,Tennessee Gas Pipeline,5
20130725-0017,Nevada Power,Nevada Power,5
20080626-0022,Nevada Power,Nevada Power,5
20070507-0107,City of Hamilton,City of Hamilton,5
20060810-0070,City of Hamilton,City of Hamilton,5
20060802-0124,City of Hamilton,City of Hamilton,5
20060725-0049,City of Hamilton,City of Hamilton,5
20060714-0019,City of Hamilton,City of Hamilton,5
20040702-0082,Nevada Power,Nevada Power,5
20031120-0152,Nevada Power,Nevada Power,5
20031105-0382,Nevada Power,Nevada Power,5
20021008-0082,Duke,Duke,5
20020617-0403,Duke,Duke,5
20010712-0179,Woodstone Toronto Development,"Woodstone Toronto Development,",5
20010709-0265,Woodstone Toronto Development,"Woodstone Toronto Development,",5
20010622-0315,Woodstone Toronto Development,"Woodstone Toronto Development,",5
20010621-0392,Woodstone Toronto Development,"Woodstone Toronto Development,",5
20010402-0103,Woodstone Toronto Development,Woodstone Toronto Development,5
20001229-0112,Duke,Duke,5
20000918-0279,Millennium,Millennium Pipeline,5
20121012-0033,Millennium,Millennium Pipeline,5
20120919-0029,Tennessee Gas,Tennessee Gas Northeast Upgrade Project,5
20110927-0125,Wells Hydroelectric,Wells Hydroelectric Project,5
20110719-0004,Wells Hydroelectric,Wells Hydroelectric Project,5
20040625-0012,Box Canyon,Box Canyon Projects,5
20040618-0014,Box Canyon,Box Canyon Project,5
20040610-0033,Box Canyon,Box Canyon Project,5
20040202-0157,Wells Hydroelectric,Wells Hydroelectric Project,5
20040116-0240,Wells Hydroelectric,Wells Hydroelectric Project,5
20040115-0081,Wells Hydroelectric,Wells Hydroelectric Projects,5
20020522-0216,Toledo Bend Dam,Toledo Bend Dam,5
20020521-0383,Toledo Bend Dam,Toledo Bend Dam,5
20020521-0223,Toledo Bend Dam,Toledo Bend Dam,5
20020521-0202,Toledo Bend Dam,Toledo Bend Dam,5
20020509-0159,Box Canyon,Box Canyon Project,5
20020509-0157,Box Canyon,Box Canyon Project,5
20020403-0706,Toledo Bend Dam,Toledo Bend Dam,5
20020315-0274,Tennessee Gas,Tennessee Gas Pipeline,5
20020301-0098,Tennessee Gas,Tennessee Gas Pipeline,5
20000918-0272,Millennium,Millennium Pipeline Project,5
20000718-0775,Millennium,Millennium Pipeline Project,5
20000718-0774,Millennium,Millennium Pipeline project,5
20180227-0006,Woodland Pulp,Woodland Pulp,4
20180209-0006,Woodland Pulp,Woodland Pulp,4
20171020-0019,Transcontinental,Transcontinental Gas Pipe Line,4
20170912-0089,Woodland Pulp,Woodland Pulp,4
20160111-0040,UGI Sunbury,UGI Sunbury,4
20151224-0006,UGI Sunbury,UGI Sunbury,4
20150713-0038,UGI Sunbury,UGI Sunbury,4
20150415-0067,UGI Sunbury,"UGI Sunbury,LLC",4
20110816-0036,Transcontinental,Transcontinental Gas Pipeline,4
20110218-0026,FreePort LNG,FreePort LNG,4
20110218-0024,FreePort LNG,FreePort LNG,4
20110214-5117,FreePort LNG,FreePort LNG,4
20110214-5104,FreePort LNG,FreePort LNG,4
20031120-0105,Cheyenne Plains,Cheyenne Plains Gas Pipeline,4
20031030-0046,Cheyenne Plains,Cheyenne Plains Gas Pipeline,4
20031010-0098,Cheyenne Plains,Cheyenne Plains Gas Pipeline,4
20031010-0079,Cheyenne Plains,Cheyenne Plains Gas Pipeline,4
20030623-0120,Greenbrier,Greenbrier Pipeline Corporation,4
20030320-0389,Greenbrier,Greenbrier Pipeline,4
20000828-0092,Transcontinental,Transcontinental Gas Pipeline Corporation,4
20000828-0051,Transcontinental,Transcontinental Pipeline Corporation,4
20181214-0008,Rio Grande LNG,Rio Grande LNG Project,4
20181207-0009,Rio Grande LNG,Rio Grande LNG Project,4
20181204-0007,Rio Grande LNG,Rio Grande LNG Project,4
20181108-0011,Driftwood LNG,Driftwood LNG project,4
20181105-0011,Driftwood LNG,Driftwood LNG project,4
20181105-0010,Driftwood LNG,Driftwood LNG project,4
20181031-0010,Driftwood LNG,Driftwood LNG project,4
20180531-0008,Rio Grande LNG,Rio Grande LNG Project,4
20160105-0021,Northeast,Northeast,4
20150518-0133,Northeast,Northeast,4
20150430-0038,Northeast,Northeast,4
20150204-0011,Northeast,Northeast,4
20110629-0001,Woodland Pulp,Woodland Pulp,4
20110218-0026,Expansion of Freeport LNG on Quintana Island,"Expansion of Freeport LNG on Quintana Island, Texas",4
20110218-0024,Expansion of Freeport LNG on Quintana Island,"Expansion of Freeport LNG on Quintana Island, Texas",4
20110214-5117,Expansion of Freeport LNG on Quintana Island,"Expansion of Freeport LNG on Quintana Island, Texas",4
20110214-5104,Expansion of Freeport LNG on Quintana Island,"Expansion of Freeport LNG on Quintana Island, Texas",4
20040525-0094,Greenbrier,Greenbrier Pipeline Project,4
20040423-0071,Housatonic River,Housatonic River Project,4
20040423-0012,Housatonic River,Housatonic River Project,4
20040305-0128,Housatonic River,Housatonic River Project,4
20030612-0044,Greenbrier,Greenbrier Pipeline Project,4
20021008-0082,Patriot,The Patriot Project,4
20020930-0222,Patriot,Patriot Project,4
20020815-0570,Housatonic River,Housatonic River Project,4
20020702-0067,Patriot,Patriot Project,4
20020604-0497,Patriot,Patriot Pipeline Envionmental Impact Report,4
20010712-0179,Swinging Bridge,Swinging Bridge Project,4
20010709-0265,Swinging Bridge,Swinging Bridge Project,4
20010622-0315,Swinging Bridge,Swinging Bridge Project,4
20010621-0392,Swinging Bridge,Swinging Bridge Project,4
20000828-0331,Guardian,Guardian Pipeline Project,4
20000828-0324,Guardian,Guardian Pipeline Project,4
20000828-0316,Guardian,Guardian Pipeline Project,4
20000803-0321,Guardian,Guardian Pipeline project,4
20181109-0007,Tellurian,Tellurian,3
20181105-0012,Tellurian,Tellurian,3
20181105-0011,Tellurian,Tellurian,3
20180622-0007,Denver Water,Denver Water,3
20180418-0021,Boyce Hydro,Boyce Hydro,3
20180411-0024,Denver Water,Denver Water,3
20170802-0030,Pacific Gas and Electric,Pacific Gas and Electric Co,3
20170404-0473,Denver Water,Denver Water,3
20161018-0008,PacifiCorp,PacifiCorp,3
20160831-0049,Boyce Hydro,Boyce Hydro,3
20160115-0006,GB,GB,3
20160111-0039,GB,GB,3
20150508-0016,Pacific Gas and Electric,Pacific Gas and Electric,3
20140801-0009,Puerto Rico Electric Power Authority,Puerto Rico Electric Power Authority,3
20140724-0012,Puerto Rico Electric Power Authority,Puerto Rico Electric Power Authority,3
20140724-0011,Puerto Rico Electric Power Authority,Puerto Rico Electric Power Authority,3
20140716-0028,American Midstream Partners,American Midstream Partners,3
20140716-0024,Erie Power,"Erie Power,",3
20140714-0073,Erie Power,"Erie Power,",3
20140707-0015,Erie Power,"Erie Power,",3
20140619-0006,GB,GB,3
20140416-0023,American Midstream Partners,"American Midstream Partners LP
(AMP)",3
20140409-0026,American Midstream Partners,"American Midstream Partners,",3
20130812-0005,Alabama Power,Alabama Power,3
20101223-0003(partial),Placer County Water Agency,Placer County Water Agency,3
20100318-0017,Ruby,Ruby Pipeline,3
20100308-0002,Boyce Hydro,Boyce Hydro,3
20091026-0249,Placer County Water Agency,Placer County Water Agency,3
20090928-0063,Gundersen Lutheran Hydro,"Gundersen Lutheran Hydro,",3
20090811-0007,Gundersen Lutheran Hydro,"Gundersen Lutheran Hydro,",3
20090716-0037,Gundersen Lutheran Hydro,"Gundersen Lutheran Hydro,",3
20090716-0034,Placer County Water Agency,Placer County Water Agency,3
20090508-0083,Pacific Gas and Electric,Pacific Gas and Electric,3
20080722-0163(partial),Essex Hydro,Essex Hydro,3
20080709-0043,Essex Hydro,Essex Hydro,3
20080611-0082(partial),Essex Hydro,Essex Hydro,3
20071231-0066,New York Independent System Operator,"New York Independent System Operator,",3
20061130-0105,Shangri-La Marina,"Shangri-La Marina Group,",3
20061127-0105,Shangri-La Marina,"Shangri-La Marina Group,",3
20061106-0120,Shangri-La Marina,"Shangri-La Marina Group,",3
20060628-0052,Classis Development,Classis Development Corporation,3
20060628-0052,Biron Licensee,"Biron Licensee Group,",3
20060615-0257,Classis Development,Classis Development Corporation,3
20060615-0257,Biron Licensee,"Biron Licensee Group,",3
20060613-0067,Classis Development,Classis Development Corporation,3
20060613-0067,Biron Licensee,"Biron Licensee Group,",3
20040728-0251,El Paso,El Paso Corporation,3
20040723-0183,El Paso,El Paso Corporation,3
20040716-0364,Weaver's Cove,Weaver's Cove,3
20040525-0113,NRG McClain,NRG McClain,3
20040511-0052,NRG McClain,NRG McClain,3
20040511-0051,NRG McClain,NRG McClain,3
20031120-0152,Enron,"Enron Power Marketing,",3
20031105-0382,Enron,"Enron Power Marketing,",3
20031010-0098,El Paso,El Paso Corporation,3
20030716-0209,Enron,Enron,3
20020923-0130,New York Independent System Operator,New York Independent System Operator,3
20020716-0467,Alabama Power,Alabama Power,3
20020318-0146,Islander East,Islander East Pipeline,3
20020117-0096,Florida Gas Transmission,Florida Gas Transmission,3
20020102-0239,Florida Gas Transmission,Florida Gas Transmission,3
20020102-0086,Florida Gas Transmission,Florida Gas Transmission,3
20011019-0492,PacifiCorp,PacifiCorp,3
20011019-0136,East Tennesse Natural,East Tennesse Natural Gas,3
20011019-0104,East Tennesse Natural,East Tennesse Natural Gas,3
20010928-0082,East Tennesse Natural,East Tennesse Natural Gas,3
20010705-0049,New York Independent System Operator,New York Independent System Operator,3
20000828-0070,Independence Energy Group,Independence Pipeline,3
20000828-0062,Independence Energy Group,Independence Pipeline,3
20000814-0220,Independence Energy Group,Independence Pipeline,3
20000803-0322,Petal Gas Storage,Petal Gas Storage,3
20000802-0343,Petal Gas Storage,Petal Gas Storage,3
20000728-0161,Petal Gas Storage,Petal Gas Storage,3
20000330-0181,Alabama Power,Alabama Power,3
20000301-0117,PacifiCorp,PacifiCorp,3
20180209-0006,Forest City Dam,Forest City Dam,3
20180102-0006(partial),Atlantic Sunrise,Atlantic Sunrise pipeline project,3
20171211-0012,Lake Elsinore Advanced Pumped Storage,Lake Elsinore Advanced Pumped Storage Project,3
20171206-0007,Lake Elsinore Advanced Pumped Storage,Lake Elsinore Advanced Pumped Storage Project,3
20171026-0031,WB XPress,WB XPress pipeline project.,3
20171020-0019,Atlantic Sunrise,Atlantic Sunrise project,3
20171020-0012,WB XPress,WB XPress Project,3
20170824-0015,Forest City Dam,Forest City Dam,3
20170824-0012,Forest City Dam,Forest City Dam,3
20170807-0007,Pensacola,Pensacola Project,3
20170802-0028,Pensacola,Pensacola Project,3
20160808-0032,Pensacola,Pensacola Project No 1494,3
20160111-0040,Sunbury,Sunbury Pipeline Project,3
20151224-0006,Sunbury,Sunbury Pipeline Project,3
20151103-0008,WB XPress,WB XPress project,3
20150415-0067,Sunbury,Sunbury Pipeline Project,3
20140820-0011,Atlantic Sunrise,Atlantic Sunrise Project,3
20140716-0028,American Midstream,American Midstream Pipeline,3
20140716-0024,North East Cogeneration Plant,North East Cogeneration Plant,3
20140714-0073,North East Cogeneration Plant,North East Cogeneration Plant,3
20140707-0015,North East Cogeneration Plant,North East Cogeneration Plant,3
20140416-0023,American Midstream,American Midstream Pipeline,3
20140409-0026,American Midstream,American Midstream Pipeline,3
20130528-0028,Niagara Power,Niagara Power Project,3
20100318-0017,Ruby,Ruby Pipeline Project,3
20090928-0073,Ruby,Ruby Pipeline Project,3
20080911-0064,Carmen-Smith Hydroelectric,Carmen-Smith Hydroelectric Project No.2242,3
20080422-0001,Carmen-Smith Hydroelectric,Carmen-Smith Hydroelectric Project,3
20071016-0043,Carmen-Smith Hydroelectric,Carmen-Smith Hydroelectric Project,3
20061130-0105,Shangri-La Resort,Shangri-La Resort,3
20061127-0105,Shangri-La Resort,Shangri-La Resort,3
20061106-0120,Shangri-La Resort,Shangri-La Resort,3
20060628-0052,Biron Hydroelectric,Biron Hydroelectric Project,3
20060615-0257,Biron Hydroelectric,Biron Hydroelectric Project,3
20060613-0067,Biron Hydroelectric,Biron Hydroelectric Project,3
20060517-0157,Lake Elsinore Advanced Pumped Storage,Lake Elsinore Advanced Pumped Storage Project,3
20040726-0299,Weaver's Cove,Weaver's Cove,3
20040720-0182,Weaver's Cove,Weaver's Cove,3
20040423-0304,El Paso Natural,El Paso Natural Gas,3
20021018-0377,St Lawrence/FDR & Niagara,St Lawrence/FDR & Niagara Project,3
20020830-0139,Islander East,Islander East pipeline,3
20020716-0563,pipelines in Connecticut,Proposed pipelines in Connecticut,3
20020716-0239,St Lawrence/FDR & Niagara,St Lawrence/FDR & Niagara Project,3
20020702-0063,pipelines in Connecticut,Proposed pipelines in Connecticut,3
20020625-0459,St Lawrence/FDR & Niagara,St Lawrence/FDR & Niagara Project,3
20020621-0396,pipelines in Connecticut,Proposed pipelines in Connecticut,3
20020423-0090,El Paso Natural,El Paso Natural Gas Pipeline,3
20020423-0089,El Paso Natural,El Paso Natural Gas Pipeline,3
20020318-0146,Islander East,Islander East Pipeline Project,3
20010329-0123,White River Hydroelectric,White River Hydroelectric Project,3
20001229-0111,White River Hydroelectric,White River Hydroelectric Project,3
20001228-0439,White River Hydroelectric,White River Hydroelectric Project,3
20000828-0102,Niagara Power,Niagara Power Project,3
20000728-0317,Niagara Power,Niagara Power Project,3
20181130-0007,RH energytrans,"RH energytrans,",2
20181016-0023,RH energytrans,RH energytrans,2
20181016-0022,Adelphia Gateway,"Adelphia Gateway,",2
20180511-0007,PJM Interconnection,PJM Interconnection,2
20180208-0007,Sugar River Power,Sugar River Power,2
20180202-0013,Sugar River Power,Sugar River Power,2
20171211-0012,Nevada Hydro,Nevada Hydro,2
20171206-0007,Nevada Hydro,Nevada Hydro,2
20171114-0047,Klamath River Renewal,Klamath River Renewal Corporation,2
20171031-0017,Colonial,Colonial Pipeline,2
20171020-0015,DTE,DTE,2
20171017-0012,Eagle LNG Partners Jacksonville,Eagle LNG Partners Jacksonville,2
20171004-0007,Eastern Shore Natural,Eastern Shore Natural Gas,2
20170824-0015,Woodland Pulp ILC,Woodland Pulp ILC,2
20170824-0012,Woodland Pulp ILC,Woodland Pulp ILC,2
20170621-0008,Hydro Renewable,Hydro Renewable,2
20170605-0048,Loup River Public Power District,Loup River Public Power District,2
20170404-0472,Hydro Renewable,Hydro Renewable,2
20170310-0079,Southern Natural,"Southern Natural Gas,",2
20161018-0008,Klamath River Renewal,Klamath River Renewal Corporation,2
20160908-0008,DTE,DTE,2
20160621-0020,Eastern Shore Natural,Eastern Shore Natural Gas,2
20160120-0069,Golden Pass Products,"Golden Pass Products,",2
20160120-0069,Golden Pass,"Golden Pass Pipeline,",2
20151103-0010,Loup River Public Power District,Loup River Public Power District,2
20150805-0046,Texas LNG Brownsville,Texas LNG Brownsville,2
20150805-0045,Texas LNG Brownsville,Texas LNG Brownsville,2
20150625-0024,Golden Pass,"Golden Pass Pipeline,",2
20150625-0024,Golden Pass Products,Golden Pass Products,2
20150204-0011,Kinder Morgan,Kinder Morgan,2
20141229-0090,Kinder Morgan,Kinder Morgan,2
20140429-0017,Southern California Edison,Southern California Edison,2
20110922-0009,Union Electric,Union Electric,2
20110913-0012,Union Electric,Union Electric,2
